1,39,46,32,33,4.33
1,39,47,31,32,3.86
2,46,51,41,35,9.73
2,45,52,38,32,6.86
3,34,38,29,19,7.8
3,38,44,31,9,8.7
4,30,36,24,9,16.46
4,22,32,9,2,3.1
1,34,36,31,20,9.1
1,38,43,33,9,9.76
2,31,39,23,14,17.9
2,14,30,4,2,2.2
3,27,34,19,14,8.23
3,39,42,35,9,11.26
4,40,42,37,9,19.76
1,38,44,31,9,8.7
1,30,36,24,9,16.46
2,22,32,9,2,3.1
2,34,36,31,20,9.1
3,38,43,33,9,9.76
3,31,39,23,14,17.9
4,14,30,4,2,2.2
4,27,34,19,14,8.23
1,39,42,35,9,11.26
1,40,42,37,9,19.76
2,38,44,31,9,8.7
2,30,36,24,9,16.46
3,22,32,9,2,3.1
3,34,36,31,20,9.1
4,38,43,33,9,9.76
4,31,39,23,14,17.9
1,14,30,4,2,2.2
1,27,34,19,14,8.23
2,39,42,35,9,11.26
2,40,42,37,9,19.76
3,38,44,31,9,8.7
3,30,36,24,9,16.46
4,22,32,9,2,3.1
4,34,36,31,20,9.1
1,38,43,33,9,9.76
1,31,39,23,14,17.9
2,14,30,4,2,2.2
2,27,34,19,14,8.23
3,39,42,35,9,11.26
3,40,42,37,9,19.76
4,38,44,31,9,8.7
4,30,36,24,9,16.46
1,22,32,9,2,3.1
1,34,36,31,20,9.1
2,38,43,33,9,9.76
2,31,39,23,14,17.9
3,14,30,4,2,2.2
3,27,34,19,14,8.23
4,39,42,35,9,11.26
4,40,42,37,9,19.76
1,38,44,31,9,8.7
1,30,36,24,9,16.46
2,22,32,9,2,3.1
2,34,36,31,20,9.1
3,38,43,33,9,9.76
3,31,39,23,14,17.9
4,14,30,4,2,2.2
4,27,34,19,14,8.23
1,39,42,35,9,11.26
1,40,42,37,9,19.76
2,38,44,31,9,8.7
2,30,36,24,9,16.46
3,22,32,9,2,3.1
3,34,36,31,20,9.1
4,38,43,33,9,9.76
4,31,39,23,14,17.9
1,14,30,4,2,2.2
1,27,34,19,14,8.23
2,39,42,35,9,11.26
2,40,42,37,9,19.76
3,38,44,31,9,8.7
3,30,36,24,9,16.46
4,22,32,9,2,3.1
4,34,36,31,20,9.1
1,38,43,33,9,9.76
1,31,39,23,14,17.9
2,14,30,4,2,2.2
2,27,34,19,14,8.23
3,39,42,35,9,11.26
3,40,42,37,9,19.76
4,38,44,31,9,8.7
4,30,36,24,9,16.46
1,22,32,9,2,3.1
1,34,36,31,20,9.1
2,38,43,33,9,9.76
2,31,39,23,14,17.9
3,14,30,4,2,2.2
3,27,34,19,14,8.23
4,39,42,35,9,11.26
4,40,42,37,9,19.76
1,38,44,31,9,8.7
1,30,36,24,9,16.46
2,22,32,9,2,3.1
2,34,36,31,20,9.1
3,38,43,33,9,9.76
3,31,39,23,14,17.9
4,14,30,4,2,2.2
4,27,34,19,14,8.23
1,39,42,35,9,11.26
1,40,42,37,9,19.76
2,38,44,31,9,8.7
2,30,36,24,9,16.46
3,22,32,9,2,3.1
3,34,36,31,20,9.1
4,38,43,33,9,9.76
4,31,39,23,14,17.9
1,14,30,4,2,2.2
1,27,34,19,14,8.23
2,39,42,35,9,11.26
2,40,42,37,9,19.76
3,38,44,31,9,8.7
3,30,36,24,9,16.46
4,22,32,9,2,3.1
4,34,36,31,20,9.1
1,38,43,33,9,9.76
1,31,39,23,14,17.9
2,14,30,4,2,2.2
2,27,34,19,14,8.23
3,39,42,35,9,11.26
3,40,42,37,9,19.76
4,38,44,31,9,8.7
4,30,36,24,9,16.46
1,22,32,9,2,3.1
1,34,36,31,20,9.1
2,38,43,33,9,9.76
2,31,39,23,14,17.9
3,14,30,4,2,2.2
3,27,34,19,14,8.23
4,39,42,35,9,11.26
4,40,42,37,9,19.76
1,38,44,31,9,8.7
1,30,36,24,9,16.46
2,22,32,9,2,3.1
2,34,36,31,20,9.1
3,38,43,33,9,9.76
3,31,39,23,14,17.9
4,14,30,4,2,2.2
4,27,34,19,14,8.23
1,39,42,35,9,11.26
1,40,42,37,9,19.76
2,38,44,31,9,8.7
2,30,36,24,9,16.46
3,22,32,9,2,3.1
3,34,36,31,20,9.1
4,38,43,33,9,9.76
4,31,39,23,14,17.9
1,14,30,4,2,2.2
1,27,34,19,14,8.23
